p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
6e-323,2.3143071565064455,0.934,0.518,1.213504e-318,Fmod
1.5412580037876885e-301,2.653117045364773,0.76,0.217,3.154646882152641e-297,Prelp
1.8739823907052615e-301,-1.2351649601923649,0.818,0.964,3.835667157295529e-297,Gm10076
1.170085249872277e-283,5.811264879030732,0.418,0.014,2.3949304894385765e-279,Cilp2
9.251339199698089e-282,0.7933016679790033,0.998,0.981,1.8935641073942047e-277,Tpt1
3.601155494675284e-265,6.224153911730999,0.372,0.006,7.370845066501371e-261,Wfdc1
1.158614178459536e-247,-0.9643388288931871,0.993,0.999,2.3714515004709783e-243,Serpinh1
5.894669314579731e-246,2.5897761188831705,0.78,0.364,1.2065209153081794e-241,Gm42418
6.907703013002022e-216,2.407271132141577,0.848,0.48,1.4138686527012538e-211,Nupr1
1.2023524286779696e-215,1.4145384579515,0.946,0.629,2.4609749510180683e-211,Itgbl1
9.213617226735118e-214,-0.724579981900515,0.988,1,1.885843173968144e-209,Lgals1
4.127642302297997e-201,1.8560575435389168,0.874,0.497,8.44845826434354e-197,Igfbp6
3.4199582725464615e-192,1.4503426525275063,0.926,0.618,6.999970592248098e-188,Fxyd6
1.4055314005688136e-191,1.021522172457924,0.993,0.953,2.8768416706842477e-187,Mmp2
3.228178643333416e-190,3.9984964607867637,0.337,0.025,6.607436047174836e-186,Gm17455
1.4861936317831955e-185,4.46853673801545,0.391,0.055,3.0419411255338444e-181,Pi16
1.6166018991958324e-182,1.4984485725849266,0.907,0.684,3.30886076727403e-178,Cd9
4.9666680188850404e-182,1.3181806709200719,0.951,0.832,1.01657761010539e-177,Ctsk
2.170083372586726e-179,1.8583377529265166,0.85,0.604,4.441726647010511e-175,Pde4d
4.829148865758476e-179,1.6328372300981182,0.816,0.412,9.884301898434449e-175,Tnmd
3.2638061737972935e-178,4.756338668527138,0.3,0.018,6.6803584765283005e-174,Atp6v0a4
4.0406005139405943e-174,1.642429334463679,0.922,0.672,8.270301131933609e-170,Thbs4
7.654290713697366e-173,-0.7403479620183284,0.991,0.99,1.5666802232795767e-168,Serf2
3.047630913823719e-171,-0.5754923991451699,0.983,0.982,6.2378909544143886e-167,Rps19
2.7323946573216345e-170,3.342677911475154,0.397,0.066,5.592665384605921e-166,Lmcd1
8.749111387561673e-170,1.5164396777562312,0.949,0.781,1.7907681188061232e-165,Ecrg4
2.2021111147375946e-168,1.8473867708162466,0.703,0.299,4.507281029644909e-164,Lgals3
6.304703864824073e-162,2.2493586642887666,0.581,0.204,1.2904467870521912e-157,Ptgis
1.601886600994431e-161,1.7357524346863338,0.756,0.415,3.278741494915401e-157,Prnp
3.293507132857591e-158,0.8078972078401825,0.996,0.983,6.741150399532917e-154,Timp2
4.6489505486038625e-157,-0.797616501587568,0.935,0.979,9.515471982882386e-153,Pfn1
9.2221890733055525e-157,1.092025654594352,0.954,0.758,1.8875976595241805e-152,mt-Nd2
2.0339286959491527e-154,2.4072355450689216,0.847,0.641,4.1630452548687256e-150,Mgp
5.385444258672458e-153,1.6836315993048583,0.733,0.369,1.1022927308650786e-148,Cpxm2
1.0929557497869976e-152,-0.8332660979597036,0.847,0.96,2.2370618286640265e-148,Tceal9
5.2802891871612055e-151,1.8154225045043881,0.685,0.34,1.0807695908281555e-146,Gpc1
1.241170090674181e-146,-1.8378279591101396,0.206,0.639,2.5404269415919137e-142,Lrrc17
1.650016511280297e-146,1.3387938208057577,0.899,0.597,3.377253795288512e-142,Abi3bp
2.881101274702773e-142,1.0275937621750715,0.965,0.917,5.897038089061636e-138,Lum
5.4411299233951725e-140,5.299202925357024,0.233,0.011,1.113690472720524e-135,Fam180a
