p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.451669968073732,0.811,0.063,0,0,Clec3b
0,3.412709576099224,0.876,0.154,0,0,Dpt
0,3.4538685019894366,0.953,0.238,0,0,Serping1
0,3.6786824588121787,0.769,0.113,0,0,Col14a1
0,3.2992304327695745,0.748,0.098,0,0,C1s1
0,2.975064006448977,0.898,0.258,0,0,Fbn1
0,2.8272323487154725,0.848,0.211,0,0,Plpp3
0,2.913826044430751,0.796,0.159,0,0,Bicc1
0,2.8580049321388685,0.836,0.2,0,0,Ccdc80
0,2.286581620163769,0.8,0.165,0,0,Fxyd1
0,3.0425180229964246,0.807,0.181,0,0,Il11ra1
0,3.725499556341014,0.719,0.102,0,0,Cd248
0,3.4540073637948203,0.709,0.096,0,0,Slit3
0,2.32394894629956,0.797,0.19,0,0,Loxl1
0,2.2182223501470193,0.919,0.313,0,0,Mfap5
0,3.00328419122257,0.749,0.144,0,0,Gas1
0,2.024133023456835,0.864,0.26,0,0,Tshz2
0,2.642387905114713,0.764,0.161,0,0,Cd34
0,3.9833957510955336,0.657,0.057,0,0,Entpd2
0,3.3660370784703035,0.809,0.21,0,0,Igfbp6
0,2.5800784518372972,0.763,0.168,0,0,Adamts2
0,5.058166650260536,0.629,0.039,0,0,Tnxb
0,2.057640783171826,0.932,0.345,0,0,Mmp2
0,2.4110078473705108,0.773,0.186,0,0,Tgfbr3
0,1.9637343641895229,0.924,0.339,0,0,Serpinf1
0,2.440315511342121,0.854,0.27,0,0,Rnase4
0,3.1368934309942196,0.695,0.113,0,0,Rarres2
0,1.7478617193121277,0.739,0.158,0,0,Abi3bp
0,2.932653430821218,0.773,0.194,0,0,Nid1
0,3.9594713223180067,0.637,0.059,0,0,Pdgfra
0,2.1957968108078427,0.792,0.215,0,0,Nfix
0,1.4714224353876548,0.802,0.227,0,0,Ly6c1
0,2.0854894433918396,0.754,0.183,0,0,Fndc1
0,1.3774395076505432,0.954,0.384,0,0,Col6a1
0,1.3497804226559347,0.92,0.351,0,0,Col6a2
0,4.055658482357113,0.661,0.096,0,0,Apod
0,2.883677368923643,0.698,0.137,0,0,Egfr
0,1.3956671203347446,0.904,0.344,0,0,Col5a1
0,3.800126608010911,0.652,0.092,0,0,Htra3
0,2.0174372594360572,0.823,0.266,0,0,Mir99ahg
0,3.364141443811809,0.643,0.087,0,0,Ebf2
0,2.0459731803144257,0.907,0.353,0,0,Lum
0,1.9927934526850128,0.905,0.358,0,0,Pcolce
0,3.9616525872224044,0.61,0.065,0,0,Adgrd1
0,1.9380168543898253,0.74,0.2,0,0,Antxr1
0,1.9845067029498562,0.774,0.236,0,0,Rbms3
0,2.2538690748682306,0.735,0.199,0,0,Fgfr1
0,1.9209409071186676,0.844,0.311,0,0,Aebp1
0,2.940270090310819,0.634,0.102,0,0,Naaladl2
0,3.1753862484810726,0.626,0.094,0,0,Islr
0,1.8691460082951057,0.697,0.166,0,0,Ogn
0,1.8542733784342447,0.767,0.24,0,0,Lhfp
0,1.6454515378390009,0.803,0.277,0,0,Nfib
0,2.906199078069881,0.651,0.125,0,0,Gpc6
0,3.007416953110551,0.611,0.086,0,0,Cygb
0,2.2113201213972618,0.92,0.395,0,0,Ly6a
0,2.1914054811969965,0.752,0.228,0,0,Mfap2
0,1.9620522211506584,0.743,0.22,0,0,Bmp1
0,3.169057159389203,0.998,0.476,0,0,Dcn
0,1.3551708253896002,0.966,0.445,0,0,Col5a2
0,4.549724333705012,0.567,0.046,0,0,Adamts5
0,1.5942519202371197,0.949,0.435,0,0,Ebf1
0,1.3893165617958556,0.825,0.314,0,0,Col6a3
0,2.208701402672521,0.707,0.203,0,0,Mgst1
0,3.198669570066736,0.598,0.096,0,0,Ddr2
0,3.049763316466037,0.585,0.084,0,0,Lama2
0,2.1278832881857914,0.729,0.229,0,0,Nbl1
0,3.0848361361371914,0.633,0.134,0,0,Igfbp5
0,1.8619439349481053,0.852,0.355,0,0,Lrp1
0,2.0502085081299195,0.652,0.156,0,0,Bnc2
0,3.214303160429699,0.564,0.068,0,0,Lbp
0,3.576229807975171,0.548,0.057,0,0,Svep1
0,3.5467758231045554,0.554,0.065,0,0,C1ra
0,2.5358890126907747,0.629,0.141,0,0,Pard3b
0,3.812802998060787,0.549,0.062,0,0,Ace
0,2.259804509051294,0.637,0.154,0,0,Lpar1
0,1.661778541998964,0.726,0.243,0,0,Rora
0,3.3422644219910977,0.557,0.078,0,0,Sdk1
0,1.6111878425696893,0.752,0.274,0,0,Auts2
0,4.497670056475643,0.552,0.076,0,0,Pi16
0,2.014710050462172,0.753,0.278,0,0,Meg3
0,5.648375535710862,0.491,0.016,0,0,Scara5
0,1.9755083593148317,0.697,0.223,0,0,Pbx1
0,1.8942508077379396,0.736,0.263,0,0,Nfia
0,1.558829448646612,0.787,0.315,0,0,Dlc1
0,1.607552939527681,0.723,0.251,0,0,S100a16
0,1.6007046062522436,0.735,0.263,0,0,Vkorc1
0,1.4577024280763402,0.746,0.275,0,0,Fbln2
0,2.376330697612478,0.987,0.517,0,0,Fstl1
0,2.112105779067205,0.86,0.392,0,0,Celf2
0,2.258734378930699,0.621,0.153,0,0,Vcan
0,1.7011528573732417,0.775,0.309,0,0,Itm2a
0,1.5487601133945044,0.681,0.219,0,0,Snhg18
0,1.7850548796083616,0.682,0.222,0,0,Plxdc2
0,3.0088953166966173,0.645,0.189,0,0,Tnfaip6
0,2.178684149925614,0.762,0.308,0,0,Cxcl12
0,4.484970427575362,0.531,0.078,0,0,C3
0,1.1767112815449732,0.891,0.439,0,0,Selenom
0,2.3109376410547124,0.589,0.137,0,0,Prss23
0,5.147285393988794,0.515,0.064,0,0,Cxcl14
0,2.8352129597195423,0.726,0.277,0,0,Mt2
0,5.867663739590998,0.461,0.013,0,0,Dpep1
0,1.9771791573389141,0.604,0.156,0,0,Pdpn
0,2.479070138480048,0.582,0.134,0,0,Frmd6
0,1.3423543231124153,0.722,0.276,0,0,Fkbp9
0,1.6927378386253906,0.705,0.259,0,0,Nupr1
0,2.2976282238309227,0.698,0.253,0,0,Ecm1
0,2.2903663624448707,0.595,0.152,0,0,Sulf1
0,2.1501754993872755,0.598,0.155,0,0,Setbp1
0,1.2931771633918885,0.686,0.244,0,0,Ctsk
0,1.5459153828186192,0.895,0.454,0,0,Nenf
0,2.2089785194883342,0.567,0.127,0,0,Gxylt2
0,2.5354988891141024,0.6,0.16,0,0,Axl
0,4.695493093420451,0.47,0.03,0,0,Bmper
0,3.2238935485398357,0.525,0.086,0,0,Ackr3
0,1.1531577563615423,0.8,0.361,0,0,Nedd4
0,2.1252002481270225,0.629,0.191,0,0,Efemp2
0,3.41750262574823,0.579,0.142,0,0,Ugdh
0,1.6344553957143892,0.728,0.292,0,0,Airn
0,1.0950919712359197,0.763,0.328,0,0,Rcn3
0,3.350263404407681,0.539,0.105,0,0,Smoc2
0,2.2893265484697554,0.811,0.38,0,0,Igf1
0,3.3997017792340003,0.505,0.08,0,0,Sema3c
0,1.4943026414961156,0.674,0.251,0,0,Rhoj
0,1.9397567215307352,0.758,0.335,0,0,Man1a
0,2.810814817207206,0.55,0.128,0,0,Sfrp1
0,1.6616984441342868,0.615,0.193,0,0,Olfml2b
0,1.7835786637310098,0.645,0.224,0,0,Grb10
0,1.7556569231138168,0.6,0.179,0,0,Il6st
0,3.699646843576562,0.474,0.053,0,0,Fbln1
0,1.7364298203473847,0.572,0.156,0,0,Dclk1
