p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
3.9780055749198695e-227,-5.486641100264751,1,1,1.0537338967405242e-222,Cilp2
6.288422933957606e-121,-3.781838633518861,1,1,1.6657403509760303e-116,Tsc22d3
7.238855639207179e-121,-2.714151494358522,1,1,1.9175004702695899e-116,Thbs4
2.2551234459424146e-119,-2.296454822536133,1,1,5.973596495956862e-115,Insc
2.6638667752124787e-118,-3.382892047035139,1,1,7.056316700860336e-114,Cst3
3.92201417183021e-110,-3.7248067991517524,1,1,1.0389023339761043e-105,Ckb
2.3908403543012647e-105,-2.1761577951886046,1,1,6.33309701450862e-101,Spock2
4.726668789667517e-104,-3.516637900863795,1,1,1.2520472956950285e-99,Meox1
6.172757685855254e-104,-2.551822556567335,1,1,1.635101783406198e-99,Tmem204
1.3523712569714725e-102,-2.484944724344661,1,1,3.582296222591733e-98,Lamb2
5.160459077553756e-92,-3.4371313228543494,1,1,1.3669540050532144e-87,Cilp
3.9103045285935294e-91,-2.324626142030363,1,1,1.03580056657914e-86,Zbtb16
5.421839758833643e-87,-2.791383204749656,1,1,1.4361911337174436e-82,Ptgis
6.909535189600207e-82,-4.452614027168913,1,1,1.830266776373199e-77,Sparcl1
4.500167643993083e-75,-2.276509222195113,1,1,1.1920494072173278e-70,Pcsk1n
3.376752519630688e-73,-2.3845474129606217,1,1,8.944679749249729e-69,Ltbp4
3.195409997466876e-72,-2.0929339603335766,1,1,8.464321542290009e-68,Mkx
1.5357942795587317e-71,-1.916794896628684,1,1,4.068165467123125e-67,Fam49a
1.0672297112166366e-70,-2.945954168250206,1,1,2.8269847820417485e-66,Klhl29
3.4034585918216515e-70,2.6824346746970216,1,1,9.015421463876372e-66,Csrp2
1.1031533553977801e-67,-2.08537177101246,1,1,2.92214292311318e-63,Kctd1
3.211542246558242e-65,-2.443146920553965,1,1,8.507054256908127e-61,Dapk2
1.9297905774983345e-60,-2.036706383803299,1,1,5.111822260735338e-56,Lysmd2
9.27637161988964e-59,1.506751896317239,1,1,2.4572180783925666e-54,Rpl22l1
1.2289351266546307e-58,-1.8927612495977335,1,1,3.2553262569954513e-54,Cntfr
3.126215018223467e-58,-1.5885676057233042,1,1,8.281030961772142e-54,Lrrn2
1.6657943683186876e-57,1.8718847016346851,1,1,4.412522702239371e-53,Col5a1
2.8482368710297317e-57,-3.4499151211578423,1,1,7.544694647670656e-53,Kirrel3
2.9249260682616005e-57,-2.200486284944576,1,1,7.747836662218154e-53,Shisal2b
8.622309157857867e-57,-2.430509712947578,1,1,2.2839634728249703e-52,Ntm
6.085852512293073e-56,1.4300048472642026,1,1,1.612081471981312e-51,Nme2
1.2349074707222137e-55,-2.3343451751056685,1,1,3.271146399196072e-51,Vit
2.6877675798726544e-55,-1.5250550123257183,1,1,7.119627542324675e-51,Grik4
4.036124297586166e-55,-1.642547176751165,1,1,1.0691289651875995e-50,Atp8a2
1.8857760181588084e-54,-2.2357715442106527,1,1,4.995232094500868e-50,Ppfibp2
1.6574739600101728e-53,-1.4161960284939448,1,1,4.390482772670947e-49,Atp1a2
1.7518967326567933e-52,-1.790325886012082,1,1,4.6405992551345797e-48,Bmp5
2.6639740500725843e-52,-1.3637278984784647,1,0.75,7.056600861237268e-48,9330159F19Rik
6.330222362779386e-52,-1.8836807086237979,1,1,1.6768126016766317e-47,Foxo1
3.133218917096711e-51,-1.8597381202983942,1,1,8.299583589497478e-47,Gstm1
2.1330132191730591e-50,2.7794812901006503,1,1,5.6501387162675165e-46,Mif
2.809596275535431e-50,-1.6565468963745038,1,1,7.442339574265803e-46,Id1
2.8756503772525423e-49,-1.6300968200609611,1,1,7.61731028430426e-45,Kcnmb2
9.303305626083273e-48,-1.9307186728536399,1,1,2.464352627293198e-43,Col13a1
1.582762205820733e-47,-2.142986399366555,1,1,4.192578806998539e-43,Dgkb
2.9124086578018615e-47,-2.0570708565094344,1,1,7.714679293651351e-43,Ifngr1
4.825847052880981e-47,-1.6931375035982774,1,1,1.278318625837643e-42,Aldh1a1
1.8620991430336325e-44,-2.289476313957878,1,1,4.932514419981789e-40,Txnip
6.538068546625461e-44,-1.8264747980267606,1,1,1.7318689773156185e-39,mt-Nd2
6.667877400446344e-44,-1.9994637922090988,1,1,1.766254044604232e-39,Add3
8.013974813209577e-44,-1.672821386084941,1,1,2.1228217882710848e-39,Ccnd3
1.1323313699290429e-43,2.5826170218995053,1,1,2.9994325658050416e-39,Gm10076
1.1346599565936e-43,-1.2066241585555577,1,1,3.005600759020787e-39,Necab1
2.643322078495745e-43,-2.289316416487159,1,1,7.001895853727379e-39,Herpud1
2.8684629602516054e-43,-1.2690982545790481,1,1,7.598271535410478e-39,Cox8b
5.984447394501906e-43,-3.3868655298763573,1,1,1.5852202703296099e-38,Prelp
7.354177699866698e-43,-1.4545986430003444,1,1,1.9480481309176897e-38,Cdh5
1.0380927347673275e-42,-1.3777938962419896,1,1,2.7498038451251737e-38,Itga2
1.8867667087165914e-42,-4.479659212551578,1,1,4.997856334719379e-38,Mgp
1.060785009046804e-40,-2.0488914382330616,1,1,2.809913410464079e-36,Pmp22
2.173684589177189e-40,1.9638018729838664,1,1,5.757873108271456e-36,Mmp14
3.6062530601473513e-39,-1.9942948291250007,1,1,9.552603731024319e-35,Ntn1
4.3892926800264896e-39,-1.5279406359843852,1,1,1.1626797380122167e-34,Itga8
6.05287548162178e-39,-4.3890650434689675,1,1,1.6033461863267934e-34,Ptx4
8.221893735601902e-39,-1.89271925123411,1,1,2.177897431623588e-34,Enpp2
8.595014629766978e-39,-1.7908606332778436,1,1,2.2767334252789746e-34,Zbtb20
2.4103007697109243e-38,-2.0504521899038752,1,1,6.384645708887268e-34,Cpq
5.0585300953947e-38,-3.414844991951675,1,1,1.339954036969102e-33,Kera
7.790465962771014e-38,-1.6179810099514274,1,1,2.063616528878414e-33,Bbs9
1.0452078734766902e-37,-1.56258569094586,1,1,2.7686511360524047e-33,Greb1l
1.7050672374096042e-37,-1.619272285304465,1,1,4.5165526051743e-33,Fgl2
2.2131889847484477e-37,-1.4889875126243135,1,1,5.862516301700163e-33,Bmp6
3.511002830924054e-37,-1.7266064144720323,1,1,9.300295398834727e-33,Limch1
3.921527519900038e-37,-1.2261981095438856,1,1,1.0387734247463211e-32,Lpar3
4.323288356527852e-37,-1.9917535682528882,1,1,1.1451958527606627e-32,Il11ra1
5.73135753053562e-37,-2.3835063364562834,1,1,1.5181792962635805e-32,Serpinf1
1.8690746781585296e-36,-2.439389182881305,1,1,4.950991914974129e-32,Ank
2.0320981049805796e-36,-1.563435925057036,1,1,5.382824670283057e-32,Itm2b
3.384451546837489e-36,-1.7854405113502734,1,1,8.965073702417826e-32,Map1b
8.612379822420222e-36,-2.577160368962334,1,1,2.2813332911608924e-31,F2r
9.122813042134102e-36,-1.6423454640171151,1,1,2.416541946730902e-31,Tshz2
1.6787370985980646e-35,-1.237527543572229,1,1,4.446806700476414e-31,Emp1
4.949234777496685e-35,-1.3196243213827348,1,1,1.3110028002110969e-30,Prss12
2.415753455291736e-34,-1.1133779786550346,1,0.75,6.399089327722279e-30,Sox8
2.642715505593666e-34,-1.243496701024265,1,1,7.000289102767061e-30,Plcxd3
4.70907626250308e-34,1.3445198390375384,1,1,1.2473872111744408e-29,P4hb
1.393262974141795e-33,-1.1321258563608323,1,1,3.690614292204201e-29,Olfml2a
1.6564786831108058e-33,-2.3736155797489555,1,1,4.3878463836922135e-29,Cfh
5.228126190224131e-33,-2.100014211852542,1,1,1.38487834652847e-28,9530026P05Rik
7.00986301456297e-33,1.1611700653113193,1,1,1.856842613927585e-28,Rpl32
8.842227162844765e-33,-1.9790986982943097,1,1,2.34221755316595e-28,Crip2
9.54817248654472e-33,-1.9711404188884247,1,0.75,2.529215409960831e-28,C7
1.0906273966027669e-32,-1.7735904831536433,1,1,2.888962910861069e-28,Eya2
1.1330235013300682e-32,-1.8637503049644764,1,1,3.001265952673218e-28,Fat3
1.823861843466847e-32,-1.190351644642487,1,1,4.831227637159331e-28,Flt1
1.8804690726263585e-32,-1.5678624345452614,1,1,4.981174526479961e-28,Il17rd
2.9883982752449774e-32,-1.4768628724442951,1,1,7.915968191296421e-28,Aplp2
4.233996609128593e-32,-1.1057235654768265,1,1,1.121543361792073e-27,Pcolce
4.538277343623393e-32,1.2008214034141953,1,1,1.2021442855524006e-27,Eef1g
7.783555871506572e-32,-2.208127250346779,1,1,2.0617861148033757e-27,Kazald1
1.3712977926143178e-31,-2.552726428852041,1,1,3.632430722856066e-27,Lama2
1.5935024084827564e-31,-4.199294144280918,1,1,4.221028529829974e-27,Crispld1
3.5577451001392246e-31,-5.137996873441864,1,1,9.424110995758792e-27,Chad
5.112559017296381e-31,-1.3644863163692387,1,1,1.3542657580916386e-26,Cyb5a
